Source;Target;Type;Weight
1;311;Undirected;1
2;3;Undirected;1
4;5;Undirected;2
4;111;Undirected;8
5;111;Undirected;2
6;2;Undirected;6
6;4;Undirected;4
2;4;Undirected;16
257;145;Undirected;1
257;159;Undirected;1
257;2;Undirected;4
145;159;Undirected;2
145;2;Undirected;11
159;2;Undirected;9
7;315;Undirected;2
7;8;Undirected;1
7;141;Undirected;1
315;8;Undirected;1
315;141;Undirected;1
8;141;Undirected;1
9;313;Undirected;1
10;2;Undirected;4
7;2;Undirected;2
7;125;Undirected;1
2;125;Undirected;6
11;12;Undirected;6
10;125;Undirected;1
13;119;Undirected;1
13;111;Undirected;6
119;111;Undirected;5
7;14;Undirected;1
14;2;Undirected;5
131;12;Undirected;2
131;15;Undirected;4
131;2;Undirected;5
131;317;Undirected;1
12;15;Undirected;3
12;2;Undirected;14
12;317;Undirected;1
15;2;Undirected;2
15;317;Undirected;1
2;317;Undirected;2
18;325;Undirected;1
18;133;Undirected;3
325;133;Undirected;1
19;127;Undirected;2
20;111;Undirected;1
137;21;Undirected;1
137;301;Undirected;1
21;301;Undirected;2
159;22;Undirected;3
3;337;Undirected;1
3;145;Undirected;1
337;145;Undirected;2
9;20;Undirected;2
9;17;Undirected;1
9;355;Undirected;3
20;17;Undirected;1
20;355;Undirected;2
17;355;Undirected;2
24;337;Undirected;1
24;151;Undirected;2
24;25;Undirected;1
24;26;Undirected;1
337;151;Undirected;2
337;25;Undirected;1
337;26;Undirected;2
151;25;Undirected;3
151;26;Undirected;1
25;26;Undirected;2
18;2;Undirected;12
27;18;Undirected;3
27;17;Undirected;1
27;175;Undirected;2
18;17;Undirected;2
18;175;Undirected;1
17;175;Undirected;1
2;28;Undirected;5
2;129;Undirected;3
129;18;Undirected;1
2;153;Undirected;4
2;30;Undirected;2
2;133;Undirected;4
153;30;Undirected;1
153;133;Undirected;1
30;133;Undirected;3
1;2;Undirected;9
1;31;Undirected;2
1;357;Undirected;2
2;31;Undirected;4
2;357;Undirected;5
31;357;Undirected;2
2;119;Undirected;6
32;2;Undirected;5
32;13;Undirected;1
32;33;Undirected;1
32;145;Undirected;1
2;13;Undirected;12
2;33;Undirected;6
13;33;Undirected;4
13;145;Undirected;4
33;145;Undirected;1
35;2;Undirected;8
35;205;Undirected;4
35;325;Undirected;2
2;205;Undirected;3
2;325;Undirected;16
205;325;Undirected;3
36;155;Undirected;1
337;181;Undirected;3
337;37;Undirected;2
181;37;Undirected;3
181;181;Undirected;9
121;151;Undirected;6
121;155;Undirected;1
151;155;Undirected;2
